COMPANY-TYPE,ITEM,TAX-STATUS,EMPLOYER,2015 Revenue,2014 Revenue,2013 Revenue,2012 Revenue,2011 Revenue,2010 Revenue,2009 Revenue,2008 Revenue,2007 Revenue
Performing Arts Companies ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8948,8178,7897,8287,9145,8810,8871,8266,8002
Sports Teams and Clubs ,Revenue ,All Establishments ,Employer Firms ,28979,26668,24145,22672,22333,21442,20651,20375,18794
Sports Teams and Clubs ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,28979,26668,24145,22672,22333,21442,20651,20375,18794
Racetracks ,Revenue ,All Establishments ,Employer Firms ,7596,7238,7421,7434,7163,6951,6884,7444,8197
Racetracks ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7596,7238,7421,7434,7163,6951,6884,7444,8197
Other Spectator Sports ,Revenue ,All Establishments ,Employer Firms ,3520,3358,3411,3192,3444,3344,3623,3736,3412
Other Spectator Sports ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3520,3358,3411,3192,3444,3344,3623,3736,3412
"Promoters of Performing Arts, Sports, and Similar Events ",Revenue ,All Establishments ,Employer Firms ,24538,22020,19916,18474,16643,16312,16141,16270,16122
"Promoters of Performing Arts, Sports, and Similar Events ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,5316,5164,4756,4514,4090,4212,4161,4195,3909
"Promoters of Performing Arts, Sports, and Similar Events ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,19222,16856,15160,13960,12553,12100,11980,12075,12213
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures ",Revenue ,All Establishments ,Employer Firms ,7322,6674,6208,5832,5690,5358,5282,5343,4919
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,7322,6674,6208,5832,5690,5358,5282,5343,4919
"Independent Artists, Writers, and Performers ",Revenue ,All Establishments ,Employer Firms ,17480,16193,15330,14960,13561,13240,12939,13082,12755
"Independent Artists, Writers, and Performers ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,17480,16193,15330,14960,13561,13240,12939,13082,12755
"Museums, Historical Sites, and Similar Institutions ",Revenue ,All Establishments ,Employer Firms ,15168,15900,15080,13725,12279,14241,13278,13302,13286
"Museums, Historical Sites, and Similar Institutions ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,13641,14559,13841,12503,11143,13125,12193,12180,12279
"Museums, Historical Sites, and Similar Institutions ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,1527,1341,1239,1222,1136,1116,1085,1122,1007
"Amusement, Gambling, and Recreation Industries ",Revenue ,All Establishments ,Employer Firms ,117616,110771,106012,101046,98053,93415,93099,98392,98360
"Amusement, Gambling, and Recreation Industries ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,18579,18121,17172,16916,16034,16007,15778,16022,15699
"Amusement, Gambling, and Recreation Industries ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,99037,92650,88840,84130,82019,77408,77321,82370,82661
Amusement and Theme Parks ,Revenue ,All Establishments ,Employer Firms ,16252,14694,13524,12597,12400,10205,10234,11599,11890
Amusement and Theme Parks ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,16252,14694,13524,12597,12400,10205,10234,11599,11890
Amusement Arcades ,Revenue ,All Establishments ,Employer Firms ,1823,1680,1644,1705,1658,1627,1631,1752,1654
Amusement Arcades ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1823,1680,1644,1705,1658,1627,1631,1752,1654
Casinos (except Casino Hotels) ,Revenue ,All Establishments ,Employer Firms ,18323,17094,16617,15688,15722,15367,15566,16456,16557
Casinos (except Casino Hotels) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,18323,17094,16617,15688,15722,15367,15566,16456,16557
Other Gambling Industries ,Revenue ,All Establishments ,Employer Firms ,9600,9513,9081,8697,8480,8065,7995,8403,8578
Other Gambling Industries ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9600,9513,9081,8697,8480,8065,7995,8403,8578
Golf Courses and Country Clubs ,Revenue ,All Establishments ,Employer Firms ,21821,21224,20918,20812,19832,19788,20211,21011,21195
Golf Courses and Country Clubs ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,9327,9207,8745,8769,8304,8362,8510,8733,8642
Golf Courses and Country Clubs ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,12494,12017,12173,12043,11528,11426,11701,12278,12553
Skiing Facilities ,Revenue ,All Establishments ,Employer Firms ,2571,2530,2433,2215,2259,2265,2277,2401,2257
Skiing Facilities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2571,2530,2433,2215,2259,2265,2277,2401,2257
Mari0s ,Revenue ,All Establishments ,Employer Firms ,4291,4203,3999,3891,3742,3604,3402,3826,4042
Mari0s ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4291,4203,3999,3891,3742,3604,3402,3826,4042
Fitness and Recreatio0l Sports Centers ,Revenue ,All Establishments ,Employer Firms ,28319,26673,25649,24051,23191,22311,21842,22339,21416
Fitness and Recreatio0l Sports Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,6402,6312,6021,5955,5638,5649,5503,5493,5378
Fitness and Recreatio0l Sports Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,21917,20361,19628,18096,17553,16662,16339,16846,16038
Bowling Centers ,Revenue ,All Establishments ,Employer Firms ,3629,3403,3224,3083,3072,3007,3056,3304,3403
Bowling Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3629,3403,3224,3083,3072,3007,3056,3304,3403
All Other Amusement and Recreation Industries ,Revenue ,All Establishments ,Employer Firms ,10987,9757,8923,8307,7697,7176,6885,7301,7368
All Other Amusement and Recreation Industries ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,2850,2602,2406,2192,2092,1996,1765,1796,1679
All Other Amusement and Recreation Industries ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8137,7155,6517,6115,5605,5180,5120,5505,5689
Other Services (except Public Administration)21 ,Revenue ,All Establishments ,Employer Firms ,498951,482548,450492,426694,404997,386395,364324,383968,402153
Other Services (except Public Administration)21 ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,234590,228491,211125,195719,183694,176399,158027,165881,183863
Other Services (except Public Administration)21 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,264361,254057,239367,230975,221303,209996,206297,218087,218290
Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,162955,157449,148202,143945,137612,129006,126103,135254,136185
Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,162955,157449,148202,143945,137612,129006,126103,135254,136185
General Automotive Repair ,Revenue ,All Establishments ,Employer Firms ,47718,46655,42602,40515,38720,36328,34709,36683,37722
General Automotive Repair ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,47718,46655,42602,40515,38720,36328,34709,36683,37722
Automotive Exhaust System Repair ,Revenue ,All Establishments ,Employer Firms ,774,727,710,682,669,698,710,776,858
Automotive Exhaust System Repair ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,774,727,710,682,669,698,710,776,858
Automotive Transmission Repair ,Revenue ,All Establishments ,Employer Firms ,2313,2369,2262,2290,2310,2173,2403,2436,2647
Automotive Transmission Repair ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2313,2369,2262,2290,2310,2173,2403,2436,2647
Other Automotive Mechanical and Electrical Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,2054,2053,1932,1890,1983,1983,1981,2126,2328
Other Automotive Mechanical and Electrical Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2054,2053,1932,1890,1983,1983,1981,2126,2328
"Automotive Body, Paint, and Interior Repair and Mainte0nce ",Revenue ,All Establishments ,Employer Firms ,32009,30244,29345,28570,27288,25101,24122,25846,26413
"Automotive Body, Paint, and Interior Repair and Mainte0nce ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,32009,30244,29345,28570,27288,25101,24122,25846,26413
Automotive Glass Replacement Shops ,Revenue ,All Establishments ,Employer Firms ,4196,3729,3415,3275,3320,3184,3372,3731,3593
Automotive Glass Replacement Shops ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4196,3729,3415,3275,3320,3184,3372,3731,3593
Automotive Oil Change and Lubrication Shops ,Revenue ,All Establishments ,Employer Firms ,5336,5122,4979,5022,4995,5046,4953,4679,4680
Automotive Oil Change and Lubrication Shops ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5336,5122,4979,5022,4995,5046,4953,4679,4680
Car Washes ,Revenue ,All Establishments ,Employer Firms ,8031,7609,7264,7024,6374,6151,5896,6237,6157
Car Washes ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8031,7609,7264,7024,6374,6151,5896,6237,6157
All Other Automotive Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,1964,1916,1727,1538,1419,1314,1190,1349,1489
All Other Automotive Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1964,1916,1727,1538,1419,1314,1190,1349,1489
Consumer Electronics Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,1653,1640,1704,1724,1656,2070,2087,1925,1772
Consumer Electronics Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1653,1640,1704,1724,1656,2070,2087,1925,1772
Computer and Office Machine Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,4962,5014,4960,4802,5006,5095,5174,5506,6057
Computer and Office Machine Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4962,5014,4960,4802,5006,5095,5174,5506,6057
Communication Equipment Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,3145,3015,2670,2627,2648,2703,2773,2929,3066
Communication Equipment Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3145,3015,2670,2627,2648,2703,2773,2929,3066
Other Electronic and Precision Equipment Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,7187,6727,6365,6566,6736,6636,6705,6579,6885
Other Electronic and Precision Equipment Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7187,6727,6365,6566,6736,6636,6705,6579,6885
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,34270,33679,31539,31065,28682,24623,23916,27767,25962
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,34270,33679,31539,31065,28682,24623,23916,27767,25962
Home and Garden Equipment and Appliance Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,2808,2780,2623,2452,2180,2273,2384,2560,2595
Home and Garden Equipment and Appliance Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2808,2780,2623,2452,2180,2273,2384,2560,2595
Reupholstery and Furniture Repair ,Revenue ,All Establishments ,Employer Firms ,1173,1085,1053,976,935,923,955,1144,1153
Reupholstery and Furniture Repair ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1173,1085,1053,976,935,923,955,1144,1153
Footwear and Leather Goods Repair ,Revenue ,All Establishments ,Employer Firms ,230,217,211,197,179,171,172,176,173
Footwear and Leather Goods Repair ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,230,217,211,197,179,171,172,176,173
Other Perso0l and Household Goods Repair and Mainte0nce ,Revenue ,All Establishments ,Employer Firms ,3132,2868,2841,2730,2512,2534,2601,2805,2635
Other Perso0l and Household Goods Repair and Mainte0nce ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3132,2868,2841,2730,2512,2534,2601,2805,2635
Perso0l and Laundry Services ,Revenue ,All Establishments ,Employer Firms ,101406,96608,91165,87030,83691,80990,80194,82833,82105
Perso0l and Laundry Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,101406,96608,91165,87030,83691,80990,80194,82833,82105
Barber Shops ,Revenue ,All Establishments ,Employer Firms ,748,692,590,536,510,508,521,549,568
Barber Shops ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,748,692,590,536,510,508,521,549,568
Beauty Salons,Revenue ,All Establishments ,Employer Firms ,21348,20866,19947,19259,18790,19334,18799,19174,19010
Beauty Salons,Revenue ,Establishments subject to federal income tax ,Employer Firms ,21348,20866,19947,19259,18790,19334,18799,19174,19010
0il Salons ,Revenue ,All Establishments ,Employer Firms ,4415,3834,3393,2989,2399,1969,1725,1593,1325
0il Salons ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4415,3834,3393,2989,2399,1969,1725,1593,1325
Diet and Weight Reducing Centers ,Revenue ,All Establishments ,Employer Firms ,1456,1569,1710,1919,1758,1566,1781,1904,1838
Diet and Weight Reducing Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1456,1569,1710,1919,1758,1566,1781,1904,1838
Other Perso0l Care Services ,Revenue ,All Establishments ,Employer Firms ,6661,6033,5441,4829,4240,3880,3789,3940,3563
Other Perso0l Care Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6661,6033,5441,4829,4240,3880,3789,3940,3563
Funeral Homes and Funeral Services ,Revenue ,All Establishments ,Employer Firms ,14476,13733,13542,13004,12829,12512,12146,12337,11943
Funeral Homes and Funeral Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,14476,13733,13542,13004,12829,12512,12146,12337,11943
Cemeteries and Crematories ,Revenue ,All Establishments ,Employer Firms ,3782,3646,3425,3297,3183,3054,3056,3128,3350
Cemeteries and Crematories ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3782,3646,3425,3297,3183,3054,3056,3128,3350
Coin-Operated Laundries and Drycleaners ,Revenue ,All Establishments ,Employer Firms ,4021,4003,3844,3549,3481,3483,3258,3319,3354
Coin-Operated Laundries and Drycleaners ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4021,4003,3844,3549,3481,3483,3258,3319,3354
Drycleaning and Laundry Services (except Coin-Operated) ,Revenue ,All Establishments ,Employer Firms ,7908,7956,7708,7583,7644,7370,7549,7860,8086
Drycleaning and Laundry Services (except Coin-Operated) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7908,7956,7708,7583,7644,7370,7549,7860,8086
Linen Supply ,Revenue ,All Establishments ,Employer Firms ,6075,5610,5259,5139,4777,4648,4580,4701,4660
Linen Supply ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6075,5610,5259,5139,4777,4648,4580,4701,4660
Industrial Launderers ,Revenue ,All Establishments ,Employer Firms ,7982,7718,7304,7089,6762,6383,6528,6884,7134
Industrial Launderers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7982,7718,7304,7089,6762,6383,6528,6884,7134
Pet Care (except Veteri0ry) Services ,Revenue ,All Establishments ,Employer Firms ,4768,4206,3707,3376,3010,2782,2550,2502,2346
Pet Care (except Veteri0ry) Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4768,4206,3707,3376,3010,2782,2550,2502,2346
Photofinishing ,Revenue ,All Establishments ,Employer Firms ,1844,1839,1680,1613,1553,1470,1605,1800,2025
Photofinishing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1844,1839,1680,1613,1553,1470,1605,1800,2025
Parking Lots and Garages ,Revenue ,All Establishments ,Employer Firms ,9033,8315,7741,7471,7650,7459,7702,7992,8276
Parking Lots and Garages ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9033,8315,7741,7471,7650,7459,7702,7992,8276
All Other Perso0l Services ,Revenue ,All Establishments ,Employer Firms ,6889,6588,5874,5377,5105,4572,4605,5150,4627
All Other Perso0l Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6889,6588,5874,5377,5105,4572,4605,5150,4627
"Religious, Grantmaking, Civic, Professio0l, and Similar Organizations22 ",Revenue ,All Establishments ,Employer Firms ,234590,228491,211125,195719,183694,176399,158027,165881,183863
"Religious, Grantmaking, Civic, Professio0l, and Similar Organizations22 ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,234590,228491,211125,195719,183694,176399,158027,165881,183863
Grantmaking and Giving Services ,Revenue ,All Establishments ,Employer Firms ,117547,114180,102359,90708,82717,77680,63475,72364,92362
Grantmaking and Giving Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,117547,114180,102359,90708,82717,77680,63475,72364,92362
Social Advocacy Organizations ,Revenue ,All Establishments ,Employer Firms ,28693,28253,25470,24551,24168,22864,21098,20676,19060
Social Advocacy Organizations ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,28693,28253,25470,24551,24168,22864,21098,20676,19060
Civic and Social Organizations ,Revenue ,All Establishments ,Employer Firms ,17864,17143,16759,16054,15448,15476,15040,15311,15444
Civic and Social Organizations ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,17864,17143,16759,16054,15448,15476,15040,15311,15444
"Business, Professio0l, Labor, Political, and Similar Organizations23 ",Revenue ,All Establishments ,Employer Firms ,70486,68915,66537,64406,61361,60379,58414,57530,56997
"Business, Professio0l, Labor, Political, and Similar Organizations23 ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,70486,68915,66537,64406,61361,60379,58414,57530,56997
